日期,隊伍,二分,%,三分,%,罰球,%,進攻,防守,總計,助攻,抄截,阻攻,失誤,犯規,得分,勝負
2018-11-25-13-0,輔仁大學,33-49,67.3,9-28,32.1,14-20,70,8,25,33,29,7,7,11,21,107,1
2018-11-25-13-1,萬能科大,15-26,57.7,16-47,34,20-30,66.7,10,24,34,24,8,5,15,20,98,0
2018-11-25-14-0,文化大學,19-47,40.4,9-26,34.6,22-29,75.9,10,25,35,25,19,5,26,27,87,1
2018-11-25-14-1,臺灣科大,19-54,35.2,6-21,28.6,21-31,67.7,20,27,47,10,13,6,33,26,77,0
2018-11-25-16-0,醒吾科大,21-48,43.8,7-24,29.2,5-15,33.3,9,27,36,11,9,0,17,11,68,0
2018-11-25-16-1,臺灣師大,30-59,50.8,8-29,27.6,5-8,62.5,18,33,51,24,12,8,13,21,89,1
2018-11-25-18-0,健行科大,19-37,51.4,6-32,18.8,13-16,81.2,13,27,40,13,13,6,13,16,69,1
2018-11-25-18-1,國立體大,17-37,45.9,8-27,29.6,7-13,53.8,9,23,32,19,8,1,19,15,65,0
