日期,隊伍,兩分命中率,三分命中率,罰球命中率,進攻,防守,總計,助攻,抄截,阻攻,失誤,犯規,得分,勝負,二分出手,二分命中,三分出手,三分命中,罰球出手,罰球命中
2021-03-02-13-00,臺灣師大,44.7,38.1,87.5,15,22,37,17,13,4,14,14,73,1,21,47,8,21,7,8
2021-03-02-14-45,高雄師大,42.1,39.5,54.5,12,30,42,17,8,2,17,20,89,0,16,38,17,43,6,11
2021-03-02-14-45,健行科大,51.1,21.2,69.7,15,31,46,16,9,4,10,16,92,1,24,47,7,33,23,33
2021-03-02-16-30,政治大學,59.6,38.5,72.7,14,28,42,20,7,6,13,14,100,1,31,52,10,26,8,11
2021-03-02-16-30,義守大學,48.7,34.4,100,8,23,31,14,9,0,15,14,73,0,19,39,11,32,2,2
2021-03-02-18-15,世新大學,54.1,20,66.7,24,28,52,13,17,5,22,16,92,1,33,61,4,20,14,21
2021-03-02-18-15,輔仁大學,36.8,31.4,73.3,10,20,30,23,15,3,23,20,72,0,14,38,11,35,11,15
2021-03-03-13-00,健行科大,51.4,28.9,66.7,8,27,35,16,17,6,15,16,75,1,18,35,11,38,6,9
2021-03-03-13-00,國立體大,33.3,23.1,54.5,19,33,52,8,9,1,28,12,53,0,19,57,3,13,6,11
2021-03-03-14-45,義守大學,43.2,41.2,61.5,15,31,46,20,10,2,21,17,90,1,16,37,14,34,16,26
2021-03-03-14-45,世新大學,44.6,25,38.1,25,27,52,15,13,6,16,22,89,0,33,74,5,20,8,21
2021-03-03-16-30,輔仁大學,48.6,28.6,70.6,8,32,40,15,5,1,22,17,72,0,18,37,8,28,12,17
2021-03-03-16-30,高雄師大,49.1,30.4,81,10,30,40,15,17,0,11,14,90,1,26,53,7,23,17,21
2021-03-03-18-15,臺灣師大,39.6,36.4,70,9,28,37,15,8,3,8,24,69,0,19,48,8,22,7,10
2021-03-03-18-15,政治大學,38.3,30,69.6,10,32,42,17,6,9,12,17,70,1,18,47,6,20,16,23
2021-03-04-13-00,高雄師大,40,31.2,60,17,20,37,12,12,3,14,16,75,1,24,60,5,16,12,20
2021-03-04-13-00,義守大學,58.5,13,100,10,25,35,12,6,3,24,17,70,0,24,41,3,23,13,13
2021-03-04-14-45,國立體大,37.5,25,71.4,12,22,34,14,10,4,19,18,70,0,15,40,5,20,25,35
2021-03-04-14-45,輔仁大學,54.9,23.1,85.7,8,25,33,18,14,6,17,25,77,1,28,51,3,13,12,14
2021-03-04-16-30,臺灣師大,51.3,26.1,75,8,27,35,13,1,3,12,13,67,0,20,39,6,23,9,12
2021-03-04-16-30,健行科大,55.8,52,75,4,25,29,23,7,0,3,18,96,1,24,43,13,25,9,12
2021-03-04-18-15,政治大學,47.9,33.3,61.5,14,28,42,23,9,6,22,20,78,0,23,48,8,24,8,13
2021-03-04-18-15,世新大學,50.8,23.1,55.6,13,27,40,12,14,8,16,16,83,1,32,63,3,13,10,18
2021-03-05-13-00,義守大學,31.8,30.8,100,15,27,42,21,11,5,14,3,70,0,14,44,12,39,6,6
2021-03-05-13-00,國立體大,46.3,41.9,60,18,39,57,27,8,3,13,8,92,1,25,54,13,31,3,5
2021-03-05-14-45,世新大學,64.3,26.3,72.2,12,23,35,24,15,9,21,13,100,1,36,56,5,19,13,18
2021-03-05-14-45,高雄師大,50.9,15,75,8,16,24,23,7,0,26,15,72,0,27,53,3,20,9,12
2021-03-05-16-30,輔仁大學,50,39.1,42.9,7,35,42,20,5,3,15,14,74,1,22,44,9,23,3,7
2021-03-05-16-30,臺灣師大,39.5,22.6,50,13,27,40,12,8,4,12,13,58,0,17,43,7,31,3,6
2021-03-05-18-15,健行科大,37.5,42.1,72.2,12,24,36,15,9,0,13,18,85,0,12,32,16,38,13,18
2021-03-05-18-15,政治大學,43.9,50,70,12,25,37,24,8,1,14,19,88,1,18,41,15,30,7,10
2021-03-20-12-00,健行科大,36.6,22.2,52.9,11,25,36,13,2,6,17,20,57,0,15,41,6,27,9,17
2021-03-20-12-00,政治大學,41.5,21.7,81,20,31,51,14,11,4,15,14,76,1,22,53,5,23,17,21
2021-03-20-19-00,世新大學,40.6,35.3,73.3,16,29,45,14,15,5,15,23,85,1,28,69,6,17,11,15
2021-03-20-19-00,義守大學,44.2,26.9,64.3,13,30,43,19,11,10,23,15,77,0,19,43,7,26,18,28
2021-03-21-12-00,健行科大,64.7,28.6,76.2,15,26,41,20,6,1,17,17,90,1,22,34,10,35,16,21
2021-03-21-12-00,義守大學,59.5,27.8,71.4,15,17,32,15,9,4,13,18,84,0,22,37,10,36,10,14
2021-03-21-19-00,政治大學,43.6,34.2,52.9,22,36,58,28,10,5,24,21,82,1,17,39,13,38,9,17
2021-03-21-19-00,世新大學,27.5,33.3,81.8,10,24,34,15,11,3,14,19,70,0,11,40,10,30,18,22
